LocationCombination2,zipcode="55555"
LocationCombination3,state="NewYork"
LocationCombination4,state="NewYork";zipcode="55555"
LocationCombination5,city="Manhatten"
LocationCombination6,city="Manhatten";zipcode="55555"
LocationCombination7,city="Manhatten";state="NewYork"
LocationCombination8,city="Manhatten";state="NewYork";zipcode="55555"
LocationCombination9,address="Wellington street"
LocationCombination10,address="Wellington street";zipcode="55555"
LocationCombination11,address="Wellington street";state="NewYork"
LocationCombination12,address="Wellington street";state="NewYork";zipcode="55555"
LocationCombination13,address="Wellington street";city="Manhatten"
LocationCombination14,address="Wellington street";city="Manhatten";zipcode="55555"
LocationCombination15,address="Wellington street";city="Manhatten";state="NewYork"
LocationCombination16,address="Wellington street";city="Manhatten";state="NewYork";zipcode="55555"

